ID,Y,X,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,cat_hex,an_hex,diamond_hex,Ca_meqL,Mg_meqL,Na_meqL,K_meqL,HCO3_meqL,CO3_meqL,Cl_meqL,SO4_meqL,anions,cations,NaK_meqL,NaK,EC,CBE,maj_cation,maj_anion,water_type,Alkcalc,TDScalc
18,-28.2259952,152.0505176,85.0,55.0,54.0,1.0,480.0,3.6,125.0,2.1,#f7b8ff,#ff892f,#ff6c9b,4.241728629173112,4.525817732976754,2.348871028189584,0.025576559594662682,7.866642061558441,0.1199816028209008,3.5258245493291063,0.04372103481443544,11.556169248522883,13.516441537718357,2.3744475877842466,54.61229451903767,-1.9602722891954745,-0.07818381204526122,Mg,HCO3,Mg-HCO3,487.2,614.0322945190377
19,-27.82357254,151.5153139,78.0,74.0,149.0,1.5,532.0,2.0,280.0,23.0,#c6fff7,#ffed3f,#ffcdfa,3.8924098008882675,6.08928204073236,6.481144133337926,0.038364839391994025,8.718861618227272,0.06665644601161155,7.8978469904971975,0.4788494289200072,17.162214483656086,23.020709787080467,6.51950897272992,149.94870637278817,-5.85849530342438,-0.14579564354132543,Na,HCO3,Na-HCO3,536.0,926.548706372788
20,-27.10294275,151.0168812,44.0,49.0,700.0,4.6,315.0,4.4,1100.0,4.0,#29ff35,#3dff1b,#3ef4ff,2.195718349219023,4.032092162106562,30.44832814319831,0.11765217413544833,5.162483852897727,0.14664418122554543,31.027256034096133,0.0832781615513056,36.419662229770715,67.35977114599311,30.565980317333757,703.0175472986764,-30.940108916222393,-0.2981333382713188,Na,Cl,Na-Cl,323.8,2094.2975472986764
21,-27.22755523,151.0552068,38.0,20.0,275.0,2.8,320.0,2.1,360.0,2.0,#41ff3d,#9eff32,#76ffc6,1.896302210689156,1.6457519029006378,11.961843199113622,0.07161436686505551,5.244428041038961,0.06998926831219214,10.154374702067825,0.0416390807756528,15.51043109219463,27.60896924554715,12.033457565978678,276.7695240175096,-12.098538153352521,-0.2805822450819857,Na,Cl,Na-Cl,324.2,891.2895240175096
22,-27.82914966,151.55087369999998,62.0,60.0,465.0,1.5,620.0,3.0,600.0,78.0,#4eff5f,#b1ff49,#8dffdb,3.093966764808623,4.9372557087019135,20.226389409410306,0.038364839391994025,10.161079329512987,0.09998466901741733,16.92395783677971,1.623924150250459,28.808945985560573,48.560730971115134,20.2647542488023,466.08934772245294,-19.75178498555456,-0.25529103600387093,Na,Cl,Na-Cl,626.0,1641.6893477224528
23,-27.19530662,151.03619,22.0,13.0,380.0,3.0,360.0,2.0,460.0,2.0,#1cff1b,#8eff30,#48ffa0,1.0978591746095114,1.0697387368854145,16.52909242059337,0.07672967878398805,5.8999815461688305,0.06665644601161155,12.97503434153111,0.0416390807756528,18.983311414487204,35.379242110249635,16.605822099377356,381.9339082856792,-16.39593069576243,-0.30160339484976023,Na,Cl,Na-Cl,364.0,1097.3339082856792
24,-27.11641891,151.09700680000003,33.0,35.0,360.0,2.8,390.0,3.3,400.0,140.0,#3aff49,#b5ff7f,#70ffd2,1.6467887619142672,2.880065830076116,15.65914018793056,0.07161436686505551,6.391646675016234,0.10998313591915905,11.28263855785314,2.914735654295696,20.69900402308423,35.98836370158162,15.730754554795617,361.8073547602992,-15.28935967849739,-0.26971369975686266,Na,Cl,Na-Cl,396.6,1207.7673547602992
25,-27.24175058,151.158039,18.0,14.0,230.0,1.0,465.0,4.1,120.0,62.0,#2bff30,#ff9160,#87ff5e,0.8982484155896002,1.1520263320304465,10.004450675622302,0.025576559594662682,7.62080949713474,0.13664571432380368,3.3847915673559417,1.2908115040452368,12.433058282859722,22.110329218053977,10.030027235216965,230.6906264099902,-9.677270935194255,-0.2801482898843747,Na,HCO3,Na-HCO3,473.2,728.6106264099901
26,-27.61813284,151.23541,20.0,9.4,86.0,1.2,260.0,0.9,41.0,3.0,#68ff5e,#ff5a26,#c6ff69,0.9980537950995558,0.7735033943632997,3.7407946004500783,0.030691871513595217,4.261097783344155,0.0299954007052252,1.1564704521799467,0.0624586211634792,5.510022257392806,9.314530133390203,3.7714864719636734,86.74418885516448,-3.8045078759973974,-0.2566355985468273,Na,HCO3,Na-HCO3,261.8,317.22418885516447
27,-27.16717339,151.2189916,82.2,110.0,998.0,1.1,361.1,11.3,1661.0,170.0,#3aff50,#36ff2b,#3ec6ff,4.1020010978591745,9.051635465953508,43.410616409874166,0.02813421555412895,5.918009267559903,0.3766089199656053,46.85115661148516,3.539321865930488,56.685096664941156,100.03113781466928,43.4387506254283,999.0912643848509,-43.34604114972812,-0.27658934821693704,Na,Cl,Na-Cl,383.70000000000005,3252.5112643848506
28,-28.34801448,152.1488179,86.8,42.1,45.1,1.7,273.1,1.0,126.4,22.5,#ffb0e2,#ffd84b,#ff75f4,4.331553470732072,3.4643077556058426,1.9617422846546342,0.04348015131092656,4.475791556274189,0.03332822300580578,3.5653137842815923,0.468439658726094,8.54287322228768,11.806306098269037,2.005222435965561,46.1201160272079,-3.2634328759813567,-0.16037171939826786,Ca,HCO3,Ca-HCO3,275.1,488.9801160272079
29,-27.237583899999997,151.1588724,23.0,25.0,300.0,2.0,450.0,3.4,265.0,70.0,#31ff3f,#ffff62,#71ff83,1.1477618643644891,2.057189878625797,13.049283489942134,0.051153119189325365,7.374976932711038,0.11331595821973964,7.474748044577705,1.457367827147848,16.420408762656333,29.405824961253206,13.10043660913146,301.3100420100236,-12.985416198596873,-0.2833620645508517,Na,Cl,Na-Cl,456.8,958.3900420100235
30,-27.38167739,151.2170642,27.0,17.0,81.0,1.3,295.0,1.0,56.0,8.7,#8eff91,#ff6a30,#e8ff8b,1.3473726233844003,1.398889117465542,3.523306542284376,0.03324952747306149,4.834707100332792,0.03332822300580578,1.5795693980994396,0.18113000137408966,6.628734722812127,9.859373880364817,3.556556069757437,81.80078960442106,-3.23063915755269,-0.19593752293275213,Na,HCO3,Na-HCO3,297.0,368.70078960442106
31,-27.70803457,151.321293,34.0,18.0,92.0,2.0,235.0,0.6,115.0,2.6,#97ff8f,#ffe239,#e9ffdb,1.6966914516692448,1.481176712610574,4.001780270248921,0.051153119189325365,3.8513768426379866,0.019996933803483465,3.2437585853827775,0.05413080500834864,7.169263166832597,11.283734943156311,4.052933389438246,93.21746795707966,-4.114471776323715,-0.22297036783938565,Na,HCO3,Na-HCO3,236.2,404.5374679570797
32,-27.71300566,151.3124882,34.0,18.0,102.0,2.0,227.0,0.4,142.0,5.0,#8cff85,#f3ff3b,#d5ffe0,1.6966914516692448,1.481176712610574,4.436756386580325,0.051153119189325365,3.720266141612013,0.013331289202322311,4.005336688037865,0.104097701939132,7.8430318207913325,12.153687175819119,4.48790950576965,103.22191863270196,-4.310655355027786,-0.2155681317399352,Na,Cl,Na-Cl,227.8,438.90191863270195
33,-27.69840705,151.3176029,34.0,18.0,93.0,2.0,235.0,0.6,125.0,4.0,#96ff8e,#ffef3a,#e5ffdf,1.6966914516692448,1.481176712610574,4.045277881882061,0.051153119189325365,3.8513768426379866,0.019996933803483465,3.5258245493291063,0.0832781615513056,7.480476487321882,11.370730166422591,4.0964310010713865,94.21791302464189,-3.8902536791007094,-0.20636629530173742,Na,HCO3,Na-HCO3,236.2,416.93791302464194
34,-27.19825051,151.11456040000002,34.0,34.0,300.0,0.8,475.0,6.7,330.0,61.0,#45ff54,#e6ff54,#8bffa9,1.6966914516692448,2.797778234931084,13.049283489942134,0.020461247675730147,7.784697873417207,0.2232990941388987,9.30817681022884,1.2699919636574104,18.586165741442358,30.633959161836056,13.069744737617864,300.60412896521086,-12.047793420393699,-0.2447737270896529,Na,Cl,Na-Cl,488.4,1052.6441289652107
35,-27.24760138,151.1793724,26.0,31.0,318.0,2.0,421.0,2.9,340.0,70.0,#37ff48,#cdff5b,#77ffab,1.2974699336294224,2.5509154494959887,13.832240499338662,0.051153119189325365,6.899700641491883,0.09665184671683674,9.590242774175168,1.457367827147848,18.043963089531736,31.61517262018139,13.883393618527988,319.3180532261437,-13.571209530649654,-0.27328726802619685,Na,Cl,Na-Cl,426.8,1042.3980532261437
36,-27.27297778,151.1107924,160.0,78.0,520.0,2.0,780.0,2.5,810.0,130.0,#84ff79,#a9ff51,#a6e3ff,7.984430360796447,6.418432421312487,22.61875804923303,0.051153119189325365,12.783293350032467,0.08332055751451443,22.847343079652607,2.706540250417432,38.42049723761702,59.742685118953645,22.669911168422356,521.4079568737142,-21.322187881336625,-0.21721166092481922,Na,Cl,Na-Cl,785.0,2170.4079568737143
37,-27.06979958,150.99869619999998,46.0,46.0,912.0,6.0,484.0,1.7,1380.0,15.0,#1fff27,#48ff1f,#3affee,2.2955237287289783,3.7852293766714666,39.669821809424086,0.1534593575679761,7.932197412071428,0.05665797910986982,38.925103024593334,0.312293105817396,47.226251521592026,85.72731543938457,39.82328116699206,915.9354668408174,-38.50106391779254,-0.2895827829056519,Na,Cl,Na-Cl,487.4,2695.3754668408174
38,-28.20046283,152.01478459999998,76.0,51.0,140.0,2.0,580.0,5.1,150.0,8.5,#caffd2,#ff8831,#ffe0a3,3.792604421378312,4.196667352396626,6.089665628639662,0.051153119189325365,9.505525824383117,0.16997393732960944,4.2309894591949275,0.1769660932965244,14.083455314204178,20.270909269432913,6.1408187478289875,141.23883120006673,-6.187453955228735,-0.18010677915946102,Na,HCO3,Na-HCO3,590.2,780.8588312000668
39,-27.59063829,151.2922073,28.0,14.0,90.0,1.1,320.0,3.4,54.0,3.1,#85ff7b,#ff5f27,#dbff77,1.397275313139378,1.1520263320304465,3.91478504698264,0.02813421555412895,5.244428041038961,0.11331595821973964,1.523156205310174,0.06454057520226184,6.945440779771136,10.435140170243363,3.942919262536769,90.68714303834568,-3.489699390472227,-0.20078151590607884,Na,HCO3,Na-HCO3,326.8,385.8671430383457
40,-27.66402757,151.2363874,15.0,8.0,62.0,1.0,200.0,0.1,31.0,3.0,#6cff67,#ff5a27,#ccff6d,0.7485403463246668,0.6583007611602552,2.6968519212547077,0.025576559594662682,3.2777675256493506,0.003332822300580578,0.8744044882336183,0.0624586211634792,4.217963457347029,6.851698069183662,2.7224284808493704,62.61585505953552,-2.6337346118366334,-0.23792368045981838,Na,HCO3,Na-HCO3,200.2,239.7358550595355
41,-27.66796568,151.24107949999998,14.0,8.0,68.0,1.0,210.0,1.0,35.0,4.0,#5eff5c,#ff5f29,#c4ff6d,0.698637656569689,0.6583007611602552,2.95783759105355,0.025576559594662682,3.441655901931818,0.03332822300580578,0.9872308738121497,0.0832781615513056,4.5454931603010795,7.32376671902637,2.983414150648213,68.6185254649089,-2.7782735587252905,-0.23407302451639608,Na,HCO3,Na-HCO3,212.0,256.8185254649089
42,-27.26144722,151.170609,14.0,15.0,204.0,1.3,358.0,7.6,144.0,30.0,#2cff38,#ffbe4b,#7dff66,0.698637656569689,1.2343139271754784,8.87351277316065,0.03324952747306149,5.867203870912338,0.25329449484412386,4.06174988082713,0.624586211634792,10.806834458218383,19.74647618501259,8.906762300633712,204.85553291457538,-8.939641726794207,-0.29259158953940617,Na,HCO3,Na-HCO3,373.2,631.7755329145754
43,-27.7246617,151.3375264,37.0,20.0,100.0,1.8,271.0,0.6,123.0,1.0,#98ff91,#ffd638,#ebffd6,1.8463995209341781,1.6457519029006378,4.349761163314044,0.046037807270392826,4.4413749972548695,0.019996933803483465,3.4694113565398403,0.0208195403878264,7.95160282798602,12.28374936500369,4.395798970584437,101.10337632344205,-4.33214653701767,-0.21408802257064197,Na,HCO3,Na-HCO3,272.2,445.423376323442
44,-27.80622523,151.50353159999997,31.5,31.0,165.0,1.7,470.0,6.9,130.0,10.0,#6aff81,#ff8e34,#d2ff98,1.5719347272818003,2.5509154494959887,7.177105919468174,0.04348015131092656,7.702753685275973,0.22996473874005988,3.6668575313022704,0.208195403878264,11.807771359196568,18.56402231833599,7.2205860707791,166.07347962791928,-6.756250959139422,-0.22245149663772865,Na,HCO3,Na-HCO3,483.8,658.8534796279192
