Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field
-27.17047715,151.149574,17.5,11.5,125,2.1,325,3.3,64,12,last
-27.16974859,151.1495182,19,13,85,1.3,245,3.3,47,4.3,last
-27.16863576,151.151592,20.5,16,50,1.5,145,0.2,79,4.3,last
-27.17323694,151.1581085,25,19,58,1.6,220,1.7,49,4.2,last
-27.18397278,151.1605384,24.5,20.5,89,1.8,215,2.1,125,3.8,last
-27.1790852,151.1573954,25,20,65,1.8,183,0.1,95,4,last
-27.18186564,151.1573453,16,13,69,1.4,210,0.1,45,6.5,last
-27.18365638,151.1502224,21,14,109,1.5,333,0.8,33,7.1,last
-27.18705386,151.1518164,15,11,133,1.3,365,3,28,13.1,last
-27.19271558,151.1479302,25,17.5,150,1.9,400,11,74,31,last
-27.20619488,151.176094,55,43,316,2.2,441,0.8,391,20,last
-27.23036132,151.1983162,15,13,222,1.5,407,2.3,148,16.5,last
-27.25426102,151.2009176,11.5,8.4,185,1.3,415,8.6,84,4.9,last
-27.24586969,151.2077942,9.6,9.5,255,1.3,570,12.5,83,45.5,last
-27.36222783,151.424021,63,74,560,3.3,366,10,923,86,last
-27.39019062,151.4102939,32,70,560,2,750,16,500,245,last
-27.54392383,151.2772228,27,16.5,95,1.3,205,1.1,115,17,last
-27.49149805,151.3931941,28.5,30,375,4.6,465,7.1,460,2,last
-27.55369359,151.3438729,35,26,83,1.4,336,5.8,53,9.3,last
-27.75658969,151.4613147,44,29,105,2.3,415,5.3,87,5.3,last
-27.89313574,151.5605392,21.1,17.2,193.8,2.5,328.8,7.2,170,10.9,last
-27.82735024,151.4495238,36.4,22.8,62.3,1.6,274.1,2,63.8,4,last
-27.84107019,151.4899874,47.9,31.7,98.7,1.3,452.3,7,55.9,5.5,last
-27.82506983,151.4764063,29.3,31.7,128.4,1.8,464.5,4.9,62.8,7.2,last
-27.80242939,151.4556942,35.2,33.2,99.9,1.6,420.4,3.5,62.5,4.3,last
-27.8277661,151.4117119,36.8,20.5,107.4,1.5,371.6,3.2,66,9.3,last
-27.80834964,151.4289059,74,34,113,2.3,531,2,88,1.7,last
-27.78953529,151.4131356,33.1,29.8,111,2.7,392.9,3.3,83.2,3.8,last
-27.80190631,151.4943845,37,35,133,2.7,466,3.4,93,6.2,last
-28.18011692,151.9590398,53,33,38,0.7,299,1,70,1,last
-28.17350456,151.9507254,19,18,128,0.9,380,2.8,62,1,last
-28.13316193,151.8320009,37.5,22.5,51,1.4,295,3.7,37.5,4.6,last
-28.13176846,151.8227811,35,22,84,2,300,1.9,70,2.9,last
-28.09042118,151.7949647,87,59,143,1.7,539,0.6,127,140,last
-28.09023643,151.797817,39.5,23.5,58,2.1,285,2.8,55,3.9,last
-28.09272888,151.8031891,47.5,28,53,1.3,290,1.2,80,3.7,last
-27.78331062,151.4591429,35,31,87,1.4,361,5.7,64,4,last
-27.81712706,151.4708044,38.3,33.1,115,1.6,458,3.6,68.2,7.2,last
-27.5491097,151.422073,204,375,1410,5,286,2.4,2920,766,last
-27.63015385,151.4024651,42,29,96,2,368,5.9,76,4.9,last
-27.5575823,151.371928,32,25,90,1.6,363,6.9,41,7.2,last
-27.39021568,151.307192,41,38,157,3,425,7.8,145,24,last
-27.39563756,151.4713694,20,61,513,1.5,872,21,280,281,last
-27.28619489,151.1833168,22,17,209,1.3,422,8,132,32,last
-27.54397218,151.2894289,20.8,55.2,114.2,1.2,502.3,11.5,70.5,2,last
-27.5181374,151.4313712,444,857,4010,8.5,219,1.5,8170,1790,last
-26.771965,150.9460163,93.4,102,902.9,4.4,412.7,5.4,1523,123,last
-26.8926366,151.0856099,69,63,659,4.3,377,8.3,1030,72,last
-27.56883483,151.3298039,41,27,84,1.3,400,4.7,38,8,last
-27.61897813,151.293858,35,16,87,2,340,0.8,55,5,last
-27.60032476,151.2663324,18,9,94,1,254,1.2,60,10,last
-27.56731155,151.368667,37,27,100,1.7,380,4.3,50,11,last
-27.03942447,151.230456,26,30,213,2,469,2.2,190,11,last
-27.40071658,151.5405825,170,164,334,2,394,1.3,975,40,last
-27.85362779,151.3965461,48,31,109,1.5,365,0.6,120,9,last
-27.60028207,151.3041558,50,24,77,1.2,372,1.9,50,5,last
-27.63553248,151.2520414,18,9,82,2,245,2.3,45,5,last
-27.04337312,151.4612656,67,58,130,0.3,330,3.3,300,10,last
-27.38999219,151.4579453,25,52,440,2,729,3.4,405,104,last
-26.74830561,150.8260186,50,150,1300,3.7,350,7.7,2190,124,last
-27.84403134,151.6202092,44,76,424,4,587,2.3,580,105,last
-27.70341484,151.4363724,32,31,151,3,422,3.5,140,10,last
-27.54348793,151.3272026,38,28,83,1.5,408,2.1,41,15,last
-26.74340865,150.8843569,72,116,1000,4,521,0,1630,95,last
-27.66204314,151.3449828,45,29,105,3,362,2,110,0,last
-27.72995632,151.4158569,25,27,76,1.8,277,4.4,60,0,last
-26.94357953,151.1183732,44,33,338,4,421,1,430,60,last
-27.15058769,151.0627602,180,146,596,3,390,0,1380,160,last
-27.55434771,151.3760104,39,28,91,2,406,1.3,55,10,last
-27.20276221,151.1389492,37,59,390,1.6,530,7.4,420,130,last
-27.44248225,151.3188504,35,33,117,1.8,454,1.5,62,35,last
-27.6111931,151.3966503,40,25,96,1.8,394,1.3,70,7,last
-27.88810559,151.5833035,46,30,82,1.2,342,0.5,105,5,last
-27.48195239,151.3364756,41,32,95,2,430,1.7,65,16,last
-27.60087026,151.3778217,40.5,25.5,82,1.5,365,4.2,63,6.2,last
-27.24220312,151.2211738,59,72,650,3.2,435,10.5,920,140,last
-27.54994806,151.327533,38,28,84,1.5,406,1,43,12,last
-27.1853314,151.1414701,20,14.2,136,1.2,404,2,45,16.1,last
-27.69140349,151.4118856,52,30,100,2,430,1.4,89,5,last
-26.84866199,150.9955698,94,76,760,4,402,0,1250,121,last
-27.66008177,151.4016503,47.5,28,86,1.7,380,3.9,80,4.5,last
-27.74719585,151.4218674,48,29,78,3.6,355,1.6,70,5,last
-27.29091686,151.1872059,21,15,170,1.3,405,4.8,95,20,last
-27.27951428,151.1013812,143.8,101.3,796.9,1.1,771.9,5.6,1217,160.7,last
-27.26024726,151.2052597,32,26,325,1,424,5.1,338,55,last
-27.81023213,151.4334044,76,33,102,2,501,1.8,90,3,last
-27.19550382,151.1695929,36,28,126,1.9,301,0.6,136,22,last
-27.17566938,151.1588316,27,23,53,1.7,201,0.1,80,4.8,last
-27.53980461,151.3647057,39,28,89,1.9,400,1.8,46,8,last
-27.73296207,151.4086529,86,35,88,2,450,3,120,4.9,last
-28.15005709,151.8195624,88,51,370,2.2,448,1.8,580,11,last
-28.1992663,151.9655544,46,34,45,2,325,2.9,66,2,last
-28.20193278,151.9963329,105,65,52,3.6,285,1.2,285,6,last
-27.95782561,151.7097182,10,10,526,4,578,3.5,540,25,last
-28.34236612,152.2633227,62,26,44,1,329,1.1,57,5,last
-28.27686433,152.0874167,455,310,610,6,66,0.2,2550,25,last
-28.20341934,152.0211133,70,51,98,3,350,1.9,192,5,last
-28.33957759,152.2741359,16,14,230,2,444,7.4,135,10,last
-28.34271256,152.2497405,52,28,41,2,310,2.3,43,4.3,last
-28.0896013,151.7871856,70,34,68,4,308,1.4,150,0,last
-28.22779613,152.0578206,108.7,62.6,61.1,3.5,478.8,9.1,175.7,4,last
-28.13912788,151.8663033,36,21,153,4,440,2.5,100,10,last
-28.06770827,151.7806902,91,64,165,3,237,0.6,390,32,last
-28.07181552,151.785425,136,83,207,1.5,423,1.7,567,34,last
-28.09424014,151.7866434,112,98,332,5,450,3.7,660,22,last
-27.60171565,151.396312,39,27,95,1.8,400,1.8,56,5,last
-27.13212074,151.0889515,43,45,316,2,376,1,440,62,last
-27.49693509,151.3295472,37,28,81,1.8,365,1.4,50,14,last
-27.51175952,151.3665676,41,31,125,2.5,463,2.5,90,25,last
-27.52565295,151.3454517,36.5,28,87,1.4,390,6.2,41,12.5,last
-27.52445167,151.3645706,40,33,105,1.7,410,11.5,85,19,last
-27.53364436,151.3212577,38,29,88,1.3,416,1,48,18,last
-27.53489574,151.3186041,42,27,87,1.3,423,1,40,20,last
-27.68249922,151.2947971,29,15,94,2,210,0.8,110,5,last
-27.55395146,151.3576812,40,27,76,2.5,385,1.7,46,7,last
-27.8715559,151.4784033,40,24,46,2.6,259,2.9,54,4.1,last
-27.51418844,151.3414789,38,27,88,1.5,400,1.9,42,14,last
-27.8165113,151.4505565,58,30.5,100,1.6,475,5.7,71,5,last
-27.55131496,151.2367905,30,14,145,1.3,390,1.4,97,15,last
-27.70421558,151.413448,53,28,90,2,425,1.1,80,5,last
-27.38020271,151.3007343,37,46,235,2.5,455,2.4,270,63,last
-27.15760463,151.1723997,78,86,724,4,355,2.1,1200,132,last
-27.71372402,151.3056631,28,14,82,1.5,215,0.3,99,7,last
-27.62258221,151.3535954,37,24,105,1.5,337,1.9,80,13,last
-27.51010095,151.2772807,27,19,120,1,400,1.9,55,13,last
-27.62345663,151.3488054,45,30,92,1.5,383,0.5,70,10,last
-27.16999364,151.1510259,18,14,100,1.5,243,0.3,70,6.2,last
-27.6785936,151.3154499,31,16,80,1.7,267,0.7,74,0,last
-27.58021465,151.4445436,92,110,634,7,573,0,1040,160,last
-27.65569898,151.3531023,50,29,91,1.5,335,1,120,5,last
-27.25367672,151.0821409,204,92,592,2,567,0,1150,140,last
-27.6964793,151.4149792,53,30,99,2,420,1.4,100,6,last
-27.42081801,151.3221461,35,45,235,1,450,3,255,60,last
-28.33654477,152.2740654,90,54,178,1,725,3.2,180,10,last
-28.33499975,152.2692649,77,46,150,1.2,555,2.7,150,23,last
-28.33199266,152.2704503,91,74,296,1,513,2.4,450,63,last
-27.91658635,151.6198421,42,31,73,1.3,377,3.3,55,5,last
-27.9130863,151.626436,46,26,85,1.8,366,0.5,81,8,last
-28.24395029,152.0767868,23,12,122,1,327,3.9,66,2,last
-28.17793819,151.9451181,20,13,55,0.7,190,1.4,37,5,last
-28.24030084,152.0828853,75,47,51,1,495,3,60,5,last
-27.90883902,151.5840735,32,21,65,1,280,0.5,63,5,last
-27.44338301,151.3277472,24,29,235,2,456,3.4,170,45,last
-27.53520353,151.2664144,34,18,96,1.5,365,0.9,54,8,last
-27.3908867,151.4068609,20,68,580,3,691,4.8,540,285,last
-27.60020973,151.2518277,21,10,93,1.5,265,0.8,54,8.9,last
-27.54198918,151.3840294,22,23,98,2.5,314,1.4,70,6,last
-27.52989954,151.2322068,47,23,165,2,485,1.7,125,19,last
-27.1398066,151.0938724,40,39,286,2,348,47,385,58,last
-27.7514708,151.3519295,39,22,114,1.8,302,1.3,145,1,last
-27.74529227,151.3436116,37,22,114,1.5,285,1,150,1,last
-27.55782082,151.3095579,36,24,105,1,415,1.7,52,8,last
-27.49248519,151.2700612,24,20,121,0.8,406,1.7,54,12,last
-27.61580118,151.2834197,29,14,94,1.3,295,1.3,64,2,last
-27.55939853,151.3050849,29,20,100,0.9,375,6.5,54,4,last
-27.51758229,151.3891495,43,40,160,4.3,490,0.9,150,35,last
-27.86977666,151.5004722,46,36,92,2.5,346,0.7,125,10,last
-27.17008367,151.2755364,18,20,240,1,400,6.8,225,29,last
-27.78212838,151.4115904,56,28,98,2.5,462,1.2,74,3,last
-28.35002318,152.1474231,112.3,39,46.1,1.3,402.3,1.1,123.2,16.6,last
-28.21195555,152.0204197,52.4,18.2,70.7,3.1,37.5,0.1,242.2,0.9,last
-27.92224304,151.6454277,47,31,69,0.5,365,0.9,66,6.8,last
-28.3371977,152.2603375,32,30,385,2,475,3.3,425,75,last
-27.77401769,151.3882916,57,27.5,92,2.3,405,6.8,87,2,last
-27.61990793,151.2875861,30,13,95,1.3,280,1,75,2,last
-27.64678016,151.3059471,31,15,87,1.5,305,1.1,58,8.3,last
-27.25769317,151.0107634,165,115,760,7.5,215,0,1620,50,last
-27.5922283,151.290998,23,13,107,1,278,7.1,80,10,last
-27.5160351,151.4046863,13,13,122,2.5,302,1,40,28,last
-27.5030537,151.3042274,42,32,92,1.4,430,2.4,54,27,last
-27.09613244,151.0479793,22,18,220,1,415,2.2,180,37,last
-27.24184807,151.1777067,24,28,315,2,435,2.1,325,65,last
-27.45046523,151.3725734,50,59,288,3.5,491,1.5,400,70,last
-27.57528999,151.3519852,39,25,78,1.4,380,2.6,47,6,last
-27.14936225,151.1019629,25.5,24,215,1.4,335,8,220,22,last
-27.33543661,151.1870072,52,37,155,1,445,3.4,150,39,last
-27.3793076,151.2276298,25,18,64,1.6,240,0.1,51,6,last
-27.53638422,151.2290995,40,18,190,2.5,431,3.7,151,15,last
-27.6500175,151.3147025,30,16,83,0,320,0.5,45,5,last
-27.42779026,151.4936719,27,40,430,2,710,4.9,370,92,last
-27.4778901,151.3803047,44,58,285,3.5,470,7.2,382,78,last
-27.61345464,151.2585755,20,9.3,78,1.2,250,0.8,51,5,last
-27.21557472,151.0241129,1150,610,3350,9,115,0.2,8600,235,last
-27.54979703,151.292958,33,20,91,1.2,362,1.3,49,6,last
-27.3505707,151.2313603,47,36,110,1.5,466,1.2,77,9,last
-27.45691131,151.2819259,38,32,115,1.3,450,3.3,61,35,last
-27.40416036,151.6074889,49,42,450,1,504,1.6,628,14,last
-27.14341771,151.0919279,74,70,492,3,396,4.7,780,105,last
-27.45997196,151.2647748,28,23,125,1,415,2,61,8,last
-27.5518474,151.4068543,41,34,125,2.5,455,2.2,99,19,last
-27.32228031,151.2766301,37,59,389,3,470,9.1,503,95,last
-28.0319487,151.774361,49,30,64,2,305,2.2,85,6,last
-28.20172622,151.973353,45,32,42,0.9,315,1.5,47,2.8,last
-28.20036634,151.9759543,45,25,40,1.8,240,0.7,65,2.8,last
-28.0985631,151.8180989,52,30,67,1,300,1.7,105,4,last
-28.14410251,151.8859925,55,37,47,0.8,365,1.1,50,2.5,last
-28.21156951,152.0206165,13.9,6.5,7.6,4.4,72,0.2,10.7,2,last
-28.20833715,152.0263644,71.1,70,135.4,1.6,379.9,4.5,279,67.2,last
-28.15684838,151.8429605,56,37,87,2,399,3.8,102,8,last
-28.10670229,151.8289032,29,20,113,2.3,340,0.6,90,12,last
-28.33555722,152.286082,30,23,120,2,355,1.3,89,0,last
-28.34460055,152.2481295,45,27,48,1.9,300,1.3,45,2,last
-28.16525597,151.9628809,170,110,170,0.8,460,1.5,540,58,last
-28.01036673,151.7699017,33,20,55,1.3,255,0.8,37,6,last
-28.12568384,151.8273155,43,28,70,1.8,335,2.4,70,6.1,last
-28.12863709,151.8322037,45,36,82,1,410,1.3,79,5,last
-28.20564362,152.0309057,52,24,47,1.5,230,0.2,115,0,last
-28.13691219,151.8207721,48,28,56,2.3,265,0.5,92,2.6,last
-28.10382111,151.8299116,33,21,84,0.5,310,2.9,65,16,last
-28.200057,151.9691395,55,30,60,0.8,285,0.7,98,15,last
-28.200585,151.9690076,38,29,74,1.1,385,2.1,44,5.1,last
-28.2017163,152.0176196,82,50,80,1.5,437,1,170,8,last
-27.53006805,151.3661421,30,32,94,1.9,385,9.6,67,13,last
-27.27403841,151.172635,25,16,180,1.3,370,3.4,130,34,last
-27.66147067,151.400817,46,27,87,1.8,395,1.8,77,5,last
-27.65476255,151.3847761,47,27,74,2,370,4.3,65,3.7,last
-27.00917178,151.1917534,19,18,190,1.2,460,11.5,110,7,last
-27.48222081,151.3479954,45,38,125,3,440,1.5,120,20,last
-27.60490968,151.4194588,36,33,120,2,420,1,90,14,last
-27.45105077,151.1795062,46,40,600,0.8,710,9.8,670,37.5,last
-27.13540517,151.3392571,35,32,250,2,530,2.6,230,9,last
-27.25026442,151.1793084,33,35,350,1,440,2.6,405,82,last
-27.79894504,151.5030502,60,44,115,2.2,460,0.8,110,18,last
-27.36286482,151.3412878,76,90,860,5,370,4,1400,175,last
-28.06913434,151.7840749,63,39,135,1,230,1.1,300,23,last
-28.2071887,152.0366894,170,115,450,4,570,3.6,900,67,last
-28.25139934,152.0915737,85,50,91,1,510,1.7,150,16,last
-27.99491611,151.7688126,74,56,110,1.5,490,3.9,190,5,last
-28.02435717,151.7852906,35,20,31,2,260,0.9,27,2,last
-28.0766727,151.7952644,39,24,43,1.1,225,0.5,79,4,last
-28.20213449,151.9884178,46,23,35,2.8,215,0.4,70,0,last
-28.16877752,151.9172479,44,25.5,59,2.3,235,0.5,110,2,last
-27.9499271,151.6542362,34,30,105,0.6,405,1.7,68,8,last
-28.1944789,152.0090662,110,54,99,2.5,560,1.2,180,7,last
-28.19309859,152.0071338,98,54,83,1.5,520,1.5,165,3.6,last
-28.14847796,151.8767635,48,33,61,1.2,405,7.8,52,0,last
-28.15186997,151.8657218,56,40,58,0.7,435,7.7,56,0,last
-28.19520507,152.0123996,180,91,155,0.5,610,0.9,455,14,last
-27.23560366,151.2764902,42,42,640,6,425,1.4,910,67,last
-27.38485594,151.3800949,26,80,760,6,520,9.8,790,420,last
-27.18971673,151.2792221,26,25,355,1.3,710,18,230,51,last
-27.47456913,151.3373431,42.5,35,110,2,435,5.7,69,25,last
-28.19089234,151.9783288,39,28,56,0.6,285,0.5,66,3.5,last
-28.15890115,151.8777687,65,37,80,0.8,395,7.1,125,4.2,last
-28.15650857,151.9192534,76,45,82,0.9,415,2.7,165,0,last
-27.23730613,151.158039,26,28,310,1.6,450,3.4,295,72,last
-27.1063889,151.6216667,125,210,380,1.7,700,3.4,980,21,last
-27.49115,151.3967092,49,49,215,3.5,490,1.7,245,58,last
-27.12829853,151.110269,42,33,145,1.5,400,1.3,170,4.5,last
-27.60521631,151.3472654,41,25,82,1.6,360,5.5,56,6.4,last
-27.67928001,151.3099718,30,15.5,85,1.8,225,1.1,110,3.3,last
-27.23813607,151.1153228,46,27,275,1,530,0.9,240,36,last
-26.75369936,150.6347093,19,26,395,1.7,145,0.3,590,80,last
-27.41041592,151.4816622,19,37,355,1.4,730,7.6,225,74,last
-27.40382318,151.4826938,12,34,365,2,660,17,220,79,last
-27.38547326,151.2214975,27,19,54,1.2,230,1.5,53,8.1,last
-27.22943392,151.2748701,38,44,630,4.2,395,4.5,920,78,last
-27.63705494,151.2522489,17.5,8.5,80,1.3,245,1.6,35,4.9,last
-27.48378927,151.2969379,42,38,125,1.1,455,5.3,89,38.5,last
-28.15267192,151.911386,59,45,99,0.9,495,9.5,105,3.8,last
-28.19135274,151.9782446,32,23,50,0.6,280,0.5,45,3.7,last
-28.19059161,151.9709381,52,36,55,2,340,1.5,72,0,last
-28.19066921,151.971326,62,39,52,3,290,1.7,92,0,last
-28.12741499,151.8317454,34,30,120,0.9,410,5.7,87,7.5,last
-27.23832076,151.0705272,140,105,830,4,315,5.9,1550,195,last
-27.84341336,151.6038712,17.7,59.8,402.6,2.1,478.8,20.1,465,79,last
-27.23230591,151.1810942,23,30,341,2.1,451,6.5,327,75,last
-27.46512123,151.3083781,76,65,160,1.7,400,1.5,315,59,last
-27.75577245,151.3711124,48,26,105,2.6,345,0.7,125,8.7,last
-27.41015237,151.4879689,17,33,350,1.5,730,8.2,195,66,last
-27.16369494,151.1985932,80,92,850,6,395,4,1450,140,last
-27.55440305,151.248027,33,16.5,115,1.2,350,2.4,80,17,last
-27.42825102,151.2738848,34,35.5,125,1.4,415,12,80,34,last
-27.38306108,151.217416,31,20,91,1.2,276,3.1,85,5.2,last
-27.37650541,151.2095933,28,17.5,77,1.1,290,1.2,59,3.8,last
-27.26123112,151.3730259,98,160,840,1.4,225,3.7,1700,125,last
-27.03218837,151.4762551,90,78,150,0.2,370,3.5,375,14,last
-27.04423798,151.0764816,26,29,335,1.1,550,10.5,310,43,last
-27.62984575,151.439127,40.5,39,225,2.5,490,7.4,235,46,last
-26.74981051,150.6305426,1.7,10.5,120,8.6,7.3,0,155,41,last
-27.04349401,151.4633027,77,75,630,2.2,465,8.2,1000,105,last
-27.03598185,151.2387217,30,36,215,2.1,435,8.5,245,8.1,last
-27.16563936,151.2010931,68,87,830,5,375,8.5,1400,130,last
-27.51181717,151.3301924,32,27,98,1,420,1.3,36,17,last
-27.48540032,151.3194467,71,39,90,17,375,2.3,150,27,last
-27.22648394,151.3291692,35,38,580,4,450,7.2,820,48,last
-26.72518429,150.9461552,63,85,800,3.5,485,9.8,1200,110,last
-27.75515493,151.4417382,57,28,79,1.3,435,5.7,68,2,last
-26.78050739,150.9457839,60,56,660,4.1,470,14,900,94,last
-27.56964532,151.3286705,41,27,83,1.4,400,4.3,46,9.3,last
-26.74703274,150.6244316,1.2,3.9,49,3.9,6.1,0,61,30,last
-27.23046161,151.2378512,59,71,780,82,340,13.5,1250,130,last
-27.03172194,151.238664,29,35,220,2,450,8.8,235,9.7,last
-28.30754817,152.2196351,66,56,120,1.6,395,7.8,190,40.5,last
-28.09957135,151.8353136,273,139,721,5.6,655.1,8.4,1559,67.2,last
-28.18585411,151.9662282,45.5,25,46.5,1.1,255,0.8,77,2.3,last
-28.24414405,152.0930794,105,52,290,2.1,385,8.4,520,28,last
-28.12556344,151.8186162,55,31,57,0.9,360,2,64,2,last
-28.23773909,152.0922815,85,40,260,0.9,410,5.5,365,19,last
-28.13458848,151.8362346,51,33,58,1.7,330,2.2,86,2,last
-28.15553616,151.9204689,115,69,185,1.4,520,3.2,410,0,last
-28.1815196,151.9645748,77.3,41.1,38.8,1.4,387.3,2.7,99.3,0,last
-28.08302697,151.7925678,81,55,135,1.1,405,8.1,280,7.9,last
-28.21657661,152.0093003,110.3,237.2,756,11.2,562.1,4,1679,80.1,last
-28.14617395,151.8332692,58.9,31.1,34.7,2.5,313.5,0.3,64.1,0,last
-28.2275628,152.0507511,53.2,29.3,62.1,2.2,346,1.6,76.6,0,last
-28.10706238,151.8345214,67.3,38.4,410.2,3.3,376.3,12.1,619.6,31,last
-27.90899398,151.6590011,68.8,43.4,73.3,1.9,411.8,1.1,131.3,9.1,last
-28.21262069,152.0240548,134,65.8,364.9,1.8,447.5,1.5,656.8,105.7,last
-28.20801344,152.0385685,98.1,88.3,299.2,1.9,581.6,6.5,544,17.4,last
-28.16455484,151.8549483,24.4,14.1,54.2,0.7,141.8,1,75,12.7,last
-27.90741376,151.6618294,45.9,23.8,41.5,2,284.4,0.4,54.6,4.5,last
-28.20670024,152.0180707,65.4,41,53.5,1.4,257.2,2.7,165.8,1,last
-28.20411936,152.0368668,452.1,287.3,438.3,6.3,558.8,1.7,2009,23.9,last
-28.15702108,151.8979691,44.5,25.5,49.5,1,270,0.1,81,2,last
-28.16497479,151.8825867,160,115,540,4.2,380,5.1,1200,84,last
-28.21006286,152.042455,85.4,78,323.3,2.9,794.2,5.8,409.9,35.9,last
-28.20426287,152.0356643,72,41.5,120,2.6,470,1.3,175,4,last
-26.74897719,150.6299871,0.2,1.8,7.1,0.3,0.4,0,7,1.1,last
-27.79925327,151.3824783,51,32.5,100,3,335,3.4,135,6.2,last
-26.80854052,150.8737749,135,135,1250,2.8,600,9.5,2050,240,last
-26.88338007,150.9663896,87,83,780,6.5,570,5,1200,135,last
-27.27770996,151.3550673,32,32,570,2.2,435,7.1,760,50,last
-27.44843667,151.3801903,90,120,570,5.4,480,5.9,1050,160,last
-27.25349682,151.158722,17,15,210,1.3,360,16.5,155,30.5,last
-26.73092143,150.6402645,2.3,3,60,3,25,0,69,5.6,last
-26.78088933,150.6048445,175,185,1100,7.5,295,2.1,210,440,last
-27.836793,151.5853555,54,62,385,2.3,600,4.6,485,69,last
-27.15964168,151.181911,44.5,43.5,540,2,610,15.5,610,135,last
-27.4875809,151.3105032,42,33,85,1.5,410,2.9,48,30.5,last
-27.8926559,151.5249701,59,42.5,110,1.1,395,2.7,155,5.5,last
-27.27632448,151.3480469,35,39,620,4.2,450,5.8,860,51,last
-27.61615444,151.2513788,17,8.7,91,1.2,239,2.5,48,5.2,last
-28.18349086,151.9811595,69,44.5,160,2.7,435,1.2,265,2.7,last
-28.20227046,151.9866576,44.5,21.5,39.5,2.3,230,0.6,74,2,last
-28.131408,151.8344504,55,36,56,1.6,325,1.4,110,2,last
-28.17556745,151.9723465,59,37,50,2,290,2.4,120,3.2,last
-28.34078999,152.2639254,42.2,30.1,39.3,0.9,328.9,2,35.8,2.6,last
-28.1046135,151.8224207,40.5,24.5,76,1.5,320,1.3,65,4.7,last
-28.25646926,152.0882716,44,22.8,129,3.8,202.8,1.1,204,6,last
-28.04370162,151.7943132,49.2,30,56.1,1.3,335,2,70.5,0,last
-28.12298081,151.8333691,36.9,31.5,103.9,1.2,398.4,6.5,71.9,4.1,last
-28.20821185,152.0304255,240,145,510,2.7,560,4,1150,71,last
-28.14635115,151.8574434,37.6,29.7,188,1.5,453.9,3.3,180.2,2.3,last
-27.81189188,151.397814,66,37,115,2,425,4,135,9.2,last
-27.69369261,151.44165,43,29,125,2.5,425,5.9,100,8.5,last
-27.39612743,151.3418789,55,77,450,8.7,445,7.5,690,100,last
-27.26279724,151.159153,23,17,212,1.3,384,8.5,161,35,last
-27.07275105,151.4722407,83.6,100,325,1.7,623.7,8.8,549,10.7,last
-27.51805824,151.3522434,41,29,85,2,385,4.7,46,12,last
-27.32523719,151.247924,38.4,49,409,1.9,457.1,3.7,474,109,last
-27.19323353,151.2750654,29.9,36.7,594.1,3.8,469.6,2.5,735.5,43,last
-27.25468948,151.2009876,19,13,229,1.2,444,2.5,139,22,last
-27.22119473,151.1944272,56,70,562,3.3,433,1.7,795,135,last
-27.1769451,151.2607934,41.6,42.3,593.2,4.6,457.8,1.2,837.1,39,last
-27.4092724,151.7686594,68.3,88.6,189.9,0.6,296.6,1.8,492.4,17.6,last
-27.14119525,151.145816,7.2,5.1,160,0.8,380,7.4,52,6.7,last
-27.21675039,151.1808163,22,21,158,1.6,350,1,118,23,last
-27.24147274,151.1641502,16,18,249,1.5,408,8.5,183,44,last
-27.49471005,151.3699932,47,45,173,3.5,441,7.4,186,31,last
