ObjectID,Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,cat_hex,an_hex,diamond_hex
40,-27.66402757,151.2363874,15.0,8.0,62.0,1.0,200.0,0.1,31.0,3.0,#6cff67,#ff5a27,#ccff6d
41,-27.66796568,151.24107949999998,14.0,8.0,68.0,1.0,210.0,1.0,35.0,4.0,#5eff5c,#ff5f29,#c4ff6d
42,-27.26144722,151.170609,14.0,15.0,204.0,1.3,358.0,7.6,144.0,30.0,#2cff38,#ffbe4b,#7dff66
43,-27.7246617,151.3375264,37.0,20.0,100.0,1.8,271.0,0.6,123.0,1.0,#98ff91,#ffd638,#ebffd6
44,-27.80622523,151.50353159999997,31.5,31.0,165.0,1.7,470.0,6.9,130.0,10.0,#6aff81,#ff8e34,#d2ff98
45,-27.55890528,151.2565397,25.5,13.0,100.0,1.0,300.0,1.8,69.0,7.1,#71ff69,#ff7b31,#ceff8a
46,-27.09768691,151.22976090000003,21.0,19.0,250.0,1.3,470.0,3.5,195.0,11.0,#31ff3a,#ffc63a,#86ff6c
47,-27.21953935,151.12188559999998,41.0,30.0,340.0,1.3,445.0,11.5,360.0,100.0,#3fff45,#d4ff6c,#7dffb4
48,-27.08318809,151.14361609999997,46.0,62.0,690.0,4.0,370.0,7.0,1050.0,100.0,#30ff42,#4eff33,#49f0ff
49,-27.14195149,151.186992,42.0,52.0,716.0,5.0,418.0,4.4,1050.0,50.0,#29ff36,#51ff29,#47fff7
50,-27.48884443,151.31039219999997,38.0,35.0,111.0,1.0,459.0,1.9,60.0,38.0,#a0ffbe,#ff553e,#fdff86
51,-27.25541199,151.155568,19.0,16.0,222.0,1.5,397.0,2.7,180.0,35.0,#31ff38,#ffd44d,#78ff6d
52,-27.23036162,151.16387230000004,24.0,31.0,325.0,2.0,435.0,2.8,350.0,71.0,#33ff46,#ceff5a,#74ffa7
53,-27.49306666,151.2649765,33.0,20.0,122.0,1.2,401.0,0.5,59.0,5.0,#77ff77,#ff5625,#d7ff6e
54,-27.37464312,151.2097341,24.0,15.0,72.0,1.2,266.0,0.7,46.0,3.0,#8eff90,#ff6228,#e8ff7e
55,-27.58728166,151.3760762,39.0,24.0,86.0,1.5,370.0,2.1,55.0,4.0,#b0ffb1,#ff5625,#fffb76
56,-27.55228441,151.2481616,25.0,14.0,113.0,1.0,314.0,1.6,75.0,11.0,#65ff61,#ff8036,#c7ff89
57,-27.26778841,151.178448,20.0,20.0,170.0,1.3,360.0,2.3,130.0,30.0,#47ff57,#ffb34c,#a5ff89
58,-27.65817208,151.27266569999998,17.0,8.4,86.0,1.4,235.0,1.0,45.0,3.9,#5aff53,#ff6a2c,#bdff6f
59,-27.77701417,151.480959,41.0,31.5,150.0,1.5,495.0,3.0,86.0,11.5,#83ff90,#ff622c,#e1ff80
60,-27.49725564,151.3716215,47.0,46.0,171.0,4.0,463.0,1.3,197.0,34.0,#8bffa9,#ffcb49,#edffdc
61,-27.47654272,151.38013569999998,49.0,76.0,358.0,7.0,475.0,0.7,486.0,112.0,#5bff87,#aeff63,#9cf0ff
62,-27.70119279,151.40831719999997,49.0,26.0,76.0,1.8,405.0,2.3,63.0,2.0,#daffcf,#ff5924,#ffdc76
63,-27.55223561,151.2903238,33.0,20.0,95.0,1.5,355.0,2.0,64.0,6.0,#91ff91,#ff652a,#eaff83
64,-27.69763099,151.3457184,44.0,23.0,89.0,2.0,310.0,1.0,110.0,3.0,#baffaf,#ffb136,#fffbc6
65,-27.76704877,151.39778940000002,63.0,29.0,100.0,2.5,280.0,1.5,105.0,12.0,#d6ffbf,#ffb73e,#ffe0ce
66,-27.597256899999994,151.2871355,27.0,14.0,105.0,1.0,310.0,1.3,80.0,5.0,#72ff6b,#ff8832,#cfff91
67,-27.37485866,151.22821000000002,3.2,24.0,485.0,1.5,156.0,206.4,416.0,3.0,#12ff23,#dbff38,#44ff5b
